EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Merced",266.0,2014,Asst Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Riverside",225.0,2014,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",200.0,2014,Asst Prof-Ay-B/E/E,2.0,2.0,1.0
"University of California, Santa Barbara",157.0,2014,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",181.0,2014,Asst Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",131.5,2013,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",213.5,2013,Asst Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Irvine",204.0,2013,Asst Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Los Angeles",112.5,2013,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",259.5,2013,Asst Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",241.0,2013,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",144.0,2013,Asst Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",185.0,2013,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",276.5,2013,Asst Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",188.0,2021,Assoc Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",258.0,2021,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",176.0,2021,Assoc Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Los Angeles",83.5,2021,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",299.0,2021,Assoc Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, Riverside",213.5,2021,Assoc Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, San Diego",137.5,2021,Assoc Prof-Ay-B/E/E,3.0,0.0,1.0
"University of California, Santa Barbara",229.0,2021,Assoc Prof-Ay-B/E/E,2.0,2.0,1.0
"University of California, Santa Cruz",272.0,2021,Assoc Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Berkeley",116.0,2020,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Davis",235.5,2020,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",194.0,2020,Assoc Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",51.0,2020,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",245.0,2020,Assoc Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, Riverside",174.5,2020,Assoc Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, San Diego",152.5,2020,Assoc Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",149.0,2020,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",203.5,2020,Assoc Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, Berkeley",107.0,2019,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Davis",222.5,2019,Assoc Prof-Ay-B/E/E,4.0,4.0,2.0
"University of California, Irvine",210.0,2019,Assoc Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",53.0,2019,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",213.5,2019,Assoc Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, Riverside",171.0,2019,Assoc Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, San Diego",136.0,2019,Assoc Prof-Ay-B/E/E,5.0,1.0,2.0
"University of California, Santa Barbara",155.5,2019,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",212.5,2019,Assoc Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, Berkeley",121.0,2018,Assoc Prof-Ay-B/E/E,1.0,1.0,0.0
"University of California, Davis",209.0,2018,Assoc Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Irvine",175.0,2018,Assoc Prof-Ay-B/E/E,4.0,2.0,2.0
"University of California, Los Angeles",50.0,2018,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",221.0,2018,Assoc Prof-Ay-B/E/E,7.0,3.0,3.0
